word,count,length,per_million,romanji
の,26012674,1,34233.2096590001,no
を,17226821,1,22670.8478740427,o
に,17136341,1,22551.7743481935,ni
は,16958304,1,22317.4740241261,ha
が,16331943,1,21493.1701699656,ga
で,14810312,1,19490.6727317309,de
と,14569531,1,19173.8000236463,to
な,12874923,1,16943.6613245714,na
も,12843640,1,16902.4922583784,mo
年,12431930,1,16360.6734992340,toshi
へ,12328513,1,16224.5746174618,he
から,12318867,2,16211.8802846773,kara
お,12178513,1,16027.1715573670,o
記事,12071254,2,15886.0165252155,kiji
日,11748397,1,15461.1301267286,nichi
月,11735522,1,15444.1863640704,tsuki
ブログ,11724182,3,15429.2626927272,burogu
し,11327044,1,14906.6209828609,shi
コメント,10884369,4,14324.0516520109,komento
携帯,10768810,2,14171.9736505343,keitai
作成,10688593,2,14066.4064420567,sakusei
前,10352996,1,13624.7539436657,mae
前月,10301995,2,13557.6355872130,zengetsu
か,10232642,1,13466.3656243680,ka
送信,10179142,2,13395.9585329341,soushin
紹介,10036880,2,13208.7388386994,shoukai
内,10025183,1,13193.3453480732,uchi
メール,10015977,3,13181.2300642650,mēru
水,10012180,1,13176.2331348038,mizu
全て,9966356,2,13115.9278159652,subete
土,9945415,1,13088.3690327555,do
金,9936204,1,13076.2471688453,kimu
木,9928621,1,13066.2677861473,ki
トラック,9911309,4,13043.4848409716,torakku
絵文字,9902770,3,13032.2473427706,emoji
ウェブ,9901696,3,13030.8339368603,webu
バック,9899002,3,13027.2885779010,bakku
トップ,9898151,3,13026.1686445400,toppu
火,9895175,1,13022.2521678278,hi
編集,9852245,2,12965.7554120286,henshuu
知らせ,9848691,3,12961.0782755248,shirase
ランキング,9833707,5,12941.3590258417,rankingu
トラックバック,9823394,7,12927.7869074500,torakkubakku
お知らせ,9785559,4,12877.9952755920,oshirase
ランダム,9729358,4,12804.0336130561,randamu
自己紹介,9724888,4,12798.1510018653,jikoshoukai
都,9718161,1,12789.2981326302,to
トレンド,9713492,4,12783.1536333797,torendo
自己,9712022,2,12781.2190833907,jiko
都道府県,9674824,4,12732.2657565280,todoufuken
性別,9651106,2,12701.0523846658,seibetsu
道府県,9615334,3,12653.9757028944,doufuken
ホーム,9517749,3,12525.5518520987,hōmu
ログイン,9452528,4,12439.7196855490,roguin
モバイル,9096894,4,11971.6980863905,mobairu
ので,9050322,2,11910.4083842923,node
て,9046436,1,11905.2943290154,te
プレ,8982342,2,11820.9453174573,pure
テン,8941085,2,11766.6502637884,ten
テンプレ,8841495,4,11635.5877920894,tenpure
動,8826952,1,11616.4489074030,dou
無料,8823514,2,11611.9244292656,muryou
検索,8819806,2,11607.0446256201,kensaku
だ,8794764,1,11574.0888427475,da
翌月,8569441,2,11277.5591780158,yokugetsu
投稿,8385350,2,11035.2916664429,toukou
でも,8358480,2,10999.9301982780,demo
読む,8143477,2,10716.9818640808,yomu
ん,8142566,1,10715.7829694958,n
パーツ,7987533,3,10511.7563787246,pātsu
状態,7942429,2,10452.3985945744,joutai
使い方,7926121,3,10430.9369338809,tsukaikata
アクセス,7869019,4,10355.7895369640,akusesu
コード,7847646,3,10327.6622329413,kōdo
よ,7827299,1,10300.8851658496,yo
さん,7816367,2,10286.4984308299,san
リーダ,7762643,3,10215.7965508263,rīda
中,7597637,1,9998.6452885996,naka
や,7595916,1,9996.3804174901,ya
コンテスト,7582518,5,9978.7483761624,kontesuto
ね,7574579,1,9968.3004902018,ne
リンク,7572987,3,9966.2053857240,rinku
パスワード,7522896,5,9900.2846078359,pasuwādo
保持,7517234,2,9892.8333003275,hoji
ない,7493261,2,9861.2843432632,nai
次,7487870,1,9854.1896772834,tsugi
上,7088338,1,9328.3974145779,ue
通信簿,7035483,3,9258.8391563025,tsuushinbo
日記,7028484,2,9249.6283295185,nikki
人,6922478,1,9110.1222709290,hito
楽しい,6699101,3,8816.1535818970,tanoshii
プロフィール,6474671,6,8520.7991233830,purofīru
等,6405565,1,8429.8542175769,hitoshi
ブックマーク,6399011,6,8421.2290198712,bukkumāku
のみ,6363047,2,8373.8996621828,nomi
名前,6345906,2,8351.3417564956,namae
カレンダー,6333874,5,8335.5073990352,karendā
最新,6250718,2,8226.0724066002,saishin
利用,6055482,2,7969.1378476623,riyou
タイトル,5973476,4,7861.2162786881,taitoru
って,5945618,2,7824.5545823672,tte
文字,5878061,2,7735.6481921617,moji
私,5864315,1,7717.5581757346,watashi
原因,5863929,2,7717.0501918600,genin
環境,5787452,2,7616.4048996808,kankyou
には,5779389,2,7605.7938271905,niha
控え,5537084,2,7286.9155040153,hikae
規約,5530165,2,7277.8099588633,kiyaku
同意,5526756,2,7273.3236453176,doui
顔文字,5523211,3,7268.6583529973,kaomoji
表示,5517054,2,7260.5556153906,hyouji
では,5514539,2,7257.2458240830,deha
文字化け,5479153,4,7210.6771261863,mojibake
なる,5436352,2,7154.3501370188,naru
時,5420578,1,7133.5912312192,toki
あ,5415835,1,7127.3493464590,a
リスト,5372255,3,7069.9971773994,risuto
有効,5314757,2,6994.3286364039,yuukou
これ,5296939,2,6970.8797849054,kore
閉じる,5198634,3,6841.5083994213,tojiru
最初,5012039,2,6595.9455727652,saisho
県,4949790,1,6514.0246188463,ken
ですが,4914802,3,6467.9796970690,desuga
それ,4843105,2,6373.6249824048,sore
ー,4812368,1,6333.1744633506,^
方,4783597,1,6295.3112404040,kata
ちゃん,4714125,3,6203.8846711312,chan
情報,4608343,2,6064.6734011115,jouhou
今日,4605405,2,6060.8069331745,kyou
けど,4502635,2,5925.5595166015,kedo
何,4375059,1,5757.6668979704,nani
ど,4344402,1,5717.3216605482,do
さ,4322638,1,5688.6797925489,sa
者,4300495,1,5659.5391528177,mono
ます,4254497,2,5599.0048464294,masu
にも,4236493,2,5575.3112151364,nimo
バー,4198839,2,5525.7577829710,bā
第,4187491,1,5510.8235834646,dai
会員,4147592,2,5458.3156854998,kaiin
より,4138704,2,5446.6188961789,yori
男性,4075126,2,5362.9489511475,dansei
日々,4031071,2,5304.9716723977,hibi
かも,4014590,2,5283.2823401749,kamo
分,4006502,1,5272.6383671745,bun
になる,3977751,3,5234.8014646360,ninaru
サイドバー,3921336,5,5160.5581737343,saidobā
過去,3905737,2,5140.0295715048,kako
サイド,3905350,3,5139.5202716098,saido
そう,3852035,2,5069.3566439501,sou
女性,3845357,2,5060.5682597146,josei
自分,3800574,2,5001.6329181131,jibun
とは,3797863,2,4998.0651868070,toha
目,3786448,1,4983.0428139338,me
カテゴリー,3762810,5,4951.9347237036,kategorī
確認,3731934,2,4911.3012778137,kakunin
好き,3728725,2,4907.0781683481,suki
一,3725408,1,4902.7129286792,ichi
写真,3703606,2,4874.0210519046,shashin
時間,3695939,2,4863.9311234929,jikan
気,3675274,1,4836.7355619139,ki
今,3657472,1,4813.3077667418,ima
サイト,3611675,3,4753.0379804540,saito
ように,3607792,3,4747.9278732384,youni
最近,3595986,2,4732.3909363885,saikin
じゃ,3578049,2,4708.7854784624,ja
かな,3546507,2,4667.2755629856,kana
東京,3496475,2,4601.4324303012,toukyou
のです,3469730,3,4566.2354646863,nodesu
大,3406349,1,4482.8247756738,dai
話,3376479,1,4443.5152463069,hanashi
日本,3318431,2,4367.1228940910,nippon
自動,3264832,2,4296.5855166375,jidou
数字,3229339,2,4249.8760045579,suuji
事,3214658,1,4230.5555090562,koto
生活,3198517,2,4209.3136237696,seikatsu
でしょう,3185742,4,4192.5014631515,deshou
入力,3183103,2,4189.0284853142,nyuuryoku
下記,3175855,2,4179.4899694504,kaki
ボタン,3167705,3,4168.7644031853,botan
押して,3145132,3,4139.0578746818,oshite
プログラム,3130654,5,4120.0045313214,puroguramu
わ,3128797,1,4117.5606814375,wa
のに,3124855,2,4112.3729290182,noni
んです,3122919,3,4109.8251135226,ndesu
本,3094279,1,4072.1342892484,hon
桁,3055620,1,4021.2582565804,keta
思う,3043140,2,4004.8343219805,omou
後,3026114,1,3982.4277586393,go
的,3018532,1,3972.4496919617,teki
もう,3017528,2,3971.1284074795,mou
今日は,3017038,3,3970.4835574832,kyouha
毎日,3008106,2,3958.7288632647,mainichi
なら,2969350,2,3907.7251766178,nara
仕事,2939400,2,3868.3103656189,shigoto
家,2924901,1,3849.2293858301,ie
カテゴリ,2907585,4,3826.4411765728,kategori
だと,2904720,2,3822.6707781250,dato
なり,2896040,2,3811.2477210475,nari
